,Unnamed: 0_x,FIPS,State_x,Area_Name,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,Urban_Influence_Code_2013,Economic_typology_2015,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2010,POP_ESTIMATE_2011,POP_ESTIMATE_2012,POP_ESTIMATE_2013,POP_ESTIMATE_2014,POP_ESTIMATE_2015,POP_ESTIMATE_2016,N_POP_CHG_2010,N_POP_CHG_2011,N_POP_CHG_2012,N_POP_CHG_2013,N_POP_CHG_2014,N_POP_CHG_2015,N_POP_CHG_2016,Births_2010,Births_2011,Births_2012,Births_2013,Births_2014,Births_2015,Births_2016,Deaths_2010,Deaths_2011,Deaths_2012,Deaths_2013,Deaths_2014,Deaths_2015,Deaths_2016,NATURAL_INC_2010,NATURAL_INC_2011,NATURAL_INC_2012,NATURAL_INC_2013,NATURAL_INC_2014,NATURAL_INC_2015,NATURAL_INC_2016,INTERNATIONAL_MIG_2010,INTERNATIONAL_MIG_2011,INTERNATIONAL_MIG_2012,INTERNATIONAL_MIG_2013,INTERNATIONAL_MIG_2014,INTERNATIONAL_MIG_2015,INTERNATIONAL_MIG_2016,DOMESTIC_MIG_2010,DOMESTIC_MIG_2011,DOMESTIC_MIG_2012,DOMESTIC_MIG_2013,DOMESTIC_MIG_2014,DOMESTIC_MIG_2015,DOMESTIC_MIG_2016,NET_MIG_2010,NET_MIG_2011,NET_MIG_2012,NET_MIG_2013,NET_MIG_2014,NET_MIG_2015,NET_MIG_2016,RESIDUAL_2010,RESIDUAL_2011,RESIDUAL_2012,RESIDUAL_2013,RESIDUAL_2014,RESIDUAL_2015,RESIDUAL_2016,GQ_ESTIMATES_BASE_2010,GQ_ESTIMATES_2010,GQ_ESTIMATES_2011,GQ_ESTIMATES_2012,GQ_ESTIMATES_2013,GQ_ESTIMATES_2014,GQ_ESTIMATES_2015,GQ_ESTIMATES_2016,R_birth_2011,R_birth_2012,R_birth_2013,R_birth_2014,R_birth_2015,R_birth_2016,R_death_2011,R_death_2012,R_death_2013,R_death_2014,R_death_2015,R_death_2016,R_NATURAL_INC_2011,R_NATURAL_INC_2012,R_NATURAL_INC_2013,R_NATURAL_INC_2014,R_NATURAL_INC_2015,R_NATURAL_INC_2016,R_INTERNATIONAL_MIG_2011,R_INTERNATIONAL_MIG_2012,R_INTERNATIONAL_MIG_2013,R_INTERNATIONAL_MIG_2014,R_INTERNATIONAL_MIG_2015,R_INTERNATIONAL_MIG_2016,R_DOMESTIC_MIG_2011,R_DOMESTIC_MIG_2012,R_DOMESTIC_MIG_2013,R_DOMESTIC_MIG_2014,R_DOMESTIC_MIG_2015,R_DOMESTIC_MIG_2016,R_NET_MIG_2011,R_NET_MIG_2012,R_NET_MIG_2013,R_NET_MIG_2014,R_NET_MIG_2015,R_NET_MIG_2016,Unnamed: 0_y,FIPStxt,State_y,Area_name,Rural_urban_continuum_code_2003,Urban_influence_code_2003,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Median_Household_Income_2015,Med_HH_Income_Percent_of_State_Total_2015
0,1,1000,AL,Alabama,,,,,,"4,779,736","4,780,131","4,785,492","4,799,918","4,815,960","4,829,479","4,843,214","4,853,875","4,863,300","5,361","14,426","16,042","13,519","13,735","10,661","9,425","14,231","59,689","59,066","57,939","58,906","59,034","58,556","11,086","48,817","48,372","50,845","49,693","51,407","52,405","3,145","10,872","10,694","7,094","9,213","7,627","6,151","1,360","4,816","4,695","4,179","4,732","5,110","4,738",866,"-1,416",414,"1,619",420,"-3,114",-864,"2,226","3,400","5,109","5,798","5,152","1,996","3,874",-10,154,239,627,-630,"1,038",-600,"116,185","116,214","115,521","115,697","116,984","119,189","120,174","119,659",12.5,12.3,12.0,12.2,12.2,12.1,10.2,10.1,10.5,10.3,10.6,10.8,2.3,2.2,1.5,1.9,1.6,1.3,1.0,1.0,0.9,1.0,1.1,1.0,-0.3,0.1,0.3,0.1,-0.6,-0.2,0.7,1.1,1.2,1.1,0.4,0.8,0,1000,AL,Alabama, , , , ,"2,175,612","2,089,127","86,485",4.0,"2,176,489","2,053,477","123,012",5.7,"2,162,999","1,924,747","238,252",11.0,"2,196,042","1,964,559","231,483",10.5,"2,202,670","1,990,413","212,257",9.6,"2,174,972","2,001,849","173,123",8.0,"2,167,238","2,010,431","156,807",7.2,"2,161,313","2,014,284","147,029",6.8,"2,146,157","2,015,189","130,968",6.1,"$44,833",100.0
1,69,2000,AK,Alaska,,,,,,"710,231","710,249","714,031","722,713","731,089","736,879","736,705","737,709","741,894","3,782","8,682","8,376","5,790",-174,"1,004","4,185","2,891","11,707","11,126","11,347","11,448","11,314","11,255",919,"3,937","3,937","4,047","4,047","4,315","4,511","1,972","7,770","7,189","7,300","7,401","6,999","6,744",574,"1,480","2,723","2,249","2,208","2,527","2,030","1,199",-795,"-1,549","-3,223","-10,408","-7,882","-4,587","1,773",685,"1,174",-974,"-8,200","-5,355","-2,557",37,227,13,-536,625,-640,-2,"26,366","26,365","25,511","26,883","28,205","28,093","27,798","27,826",16.3,15.3,15.5,15.5,15.3,15.2,5.5,5.4,5.5,5.5,5.9,6.1,10.8,9.9,9.9,10.0,9.5,9.1,2.1,3.7,3.1,3.0,3.4,2.7,-1.1,-2.1,-4.4,-14.1,-10.7,-6.2,1.0,1.6,-1.3,-11.1,-7.3,-3.5,68,2000,AK,Alaska, , , , ,"350,785","328,579","22,206",6.3,"356,109","332,285","23,824",6.7,"359,647","331,792","27,855",7.7,"361,913","333,416","28,497",7.9,"365,913","338,161","27,752",7.6,"365,674","339,608","26,066",7.1,"365,216","339,957","25,259",6.9,"365,890","340,804","25,086",6.9,"363,822","340,227","23,595",6.5,"$73,391",100.0
2,99,4000,AZ,Arizona,,,,,,"6,392,017","6,392,301","6,408,312","6,467,163","6,549,634","6,624,617","6,719,993","6,817,565","6,931,071","16,011","58,851","82,471","74,983","95,376","97,572","113,506","20,941","86,106","85,573","86,097","86,128","87,258","87,204","11,486","48,164","48,756","50,609","50,249","54,576","56,564","9,455","37,942","36,817","35,488","35,879","32,682","30,640","2,373","10,947","11,686","12,282","14,290","15,414","14,861","4,420","8,535","33,964","25,538","41,038","48,341","61,544","6,793","19,482","45,650","37,820","55,328","63,755","76,405",-237,"1,427",4,"1,675","4,169","1,135","6,461","139,679","141,952","148,493","150,295","148,433","151,479","156,723","156,879",13.4,13.1,13.1,12.9,12.9,12.7,7.5,7.5,7.7,7.5,8.1,8.2,5.9,5.7,5.4,5.4,4.8,4.5,1.7,1.8,1.9,2.1,2.3,2.2,1.3,5.2,3.9,6.2,7.1,9.0,3.0,7.0,5.7,8.3,9.4,11.1,101,4000,AZ,Arizona, , , , ,"3,034,016","2,917,117","116,899",3.9,"3,104,863","2,913,903","190,960",6.2,"3,128,110","2,817,577","310,533",9.9,"3,089,705","2,769,454","320,251",10.4,"3,037,017","2,748,470","288,547",9.5,"3,031,199","2,778,425","252,774",8.3,"3,039,865","2,804,338","235,527",7.7,"3,097,112","2,886,412","210,700",6.8,"3,152,708","2,959,518","193,190",6.1,"$51,473",100.0
3,115,5000,AR,Arkansas,,,,,,"2,915,918","2,916,025","2,921,995","2,939,493","2,950,685","2,958,663","2,966,912","2,977,853","2,988,248","5,970","17,498","11,192","7,978","8,249","10,941","10,395","9,431","38,451","38,603","37,976","38,233","38,212","37,936","7,016","29,427","29,745","30,948","29,954","29,955","30,581","2,415","9,024","8,858","7,028","8,279","8,257","7,355",747,"2,635","2,995","2,806","3,251","3,469","3,335","2,711","5,591",-868,"-1,265","-2,864",-963,195,"3,458","8,226","2,127","1,541",387,"2,506","3,530",97,248,207,-591,-417,178,-490,"78,973","80,144","81,456","81,281","81,712","83,105","84,642","85,075",13.1,13.1,12.9,12.9,12.9,12.7,10.0,10.1,10.5,10.1,10.1,10.3,3.1,3.0,2.4,2.8,2.8,2.5,0.9,1.0,0.9,1.1,1.2,1.1,1.9,-0.3,-0.4,-1.0,-0.3,0.1,2.8,0.7,0.5,0.1,0.8,1.2,117,5000,AR,Arkansas, , , , ,"1,369,284","1,296,572","72,712",5.3,"1,375,257","1,300,017","75,240",5.5,"1,358,911","1,252,399","106,512",7.8,"1,353,338","1,242,496","110,842",8.2,"1,362,682","1,249,514","113,168",8.3,"1,342,327","1,240,646","101,681",7.6,"1,307,986","1,212,009","95,977",7.3,"1,304,141","1,224,398","79,743",6.1,"1,330,099","1,260,615","69,484",5.2,"$42,046",100.0
4,191,6000,CA,California,,,,,,"37,253,956","37,254,522","37,332,685","37,676,861","38,011,074","38,335,203","38,680,810","38,993,940","39,250,017","78,163","344,176","334,213","324,129","345,607","313,130","256,077","123,306","509,772","497,438","499,642","498,910","503,303","502,848","57,299","238,419","239,600","247,773","244,043","262,984","273,850","66,007","271,353","257,838","251,869","254,867","240,319","228,998","28,560","124,150","122,429","121,944","138,820","148,098","142,553","-17,304","-42,576","-43,897","-51,795","-41,146","-77,603","-109,023","11,256","81,574","78,532","70,149","97,674","70,495","33,530",900,"-8,751","-2,157","2,111","-6,934","2,316","-6,451","820,359","818,961","816,774","818,176","809,443","818,638","820,098","813,569",13.6,13.1,13.1,13.0,13.0,12.9,6.4,6.3,6.5,6.3,6.8,7.0,7.2,6.8,6.6,6.6,6.2,5.9,3.3,3.2,3.2,3.6,3.8,3.6,-1.1,-1.2,-1.4,-1.1,-2.0,-2.8,2.2,2.1,1.8,2.5,1.8,0.9,193,6000,CA,California, , , , ,"17,893,080","16,931,590","961,490",5.4,"18,178,123","16,854,482","1,323,641",7.3,"18,215,140","16,182,572","2,032,568",11.2,"18,336,271","16,091,945","2,244,326",12.2,"18,415,100","16,258,133","2,156,967",11.7,"18,551,413","16,627,835","1,923,578",10.4,"18,670,058","17,001,033","1,669,025",8.9,"18,827,925","17,418,042","1,409,883",7.5,"18,981,770","17,798,614","1,183,156",6.2,"$64,483",100.0
5,250,8000,CO,Colorado,,,,,,"5,029,196","5,029,324","5,048,644","5,118,360","5,189,867","5,267,603","5,349,648","5,448,819","5,540,545","19,320","69,716","71,507","77,736","82,045","99,171","91,726","16,793","65,911","64,733","64,738","65,713","66,427","67,453","7,855","32,009","32,714","33,597","33,943","36,381","37,121","8,938","33,902","32,019","31,141","31,770","30,046","30,332","2,031","8,238","10,445","9,364","10,391","11,505","10,557","7,797","25,703","28,485","36,296","39,052","56,122","50,216","9,828","33,941","38,930","45,660","49,443","67,627","60,773",554,"1,873",558,935,832,"1,498",621,"116,006","117,338","117,743","116,332","116,825","116,343","118,090","118,125",13.0,12.6,12.4,12.4,12.3,12.3,6.3,6.3,6.4,6.4,6.7,6.8,6.7,6.2,6.0,6.0,5.6,5.5,1.6,2.0,1.8,2.0,2.1,1.9,5.1,5.5,6.9,7.4,10.4,9.1,6.7,7.6,8.7,9.3,12.5,11.1,252,8000,CO,Colorado, , , , ,"2,664,677","2,565,218","99,459",3.7,"2,716,625","2,585,243","131,382",4.8,"2,722,982","2,524,443","198,539",7.3,"2,724,417","2,486,404","238,013",8.7,"2,736,079","2,507,265","228,814",8.4,"2,759,437","2,542,267","217,170",7.9,"2,780,536","2,590,651","189,885",6.8,"2,815,200","2,674,635","140,565",5.0,"2,828,529","2,718,698","109,831",3.9,"$63,945",100.0
6,315,9000,CT,Connecticut,,,,,,"3,574,097","3,574,114","3,579,899","3,589,893","3,593,795","3,596,003","3,591,873","3,584,730","3,576,452","5,785","9,994","3,902","2,208","-4,130","-7,143","-8,278","9,495","37,644","36,847","36,138","36,155","36,150","35,848","6,833","29,324","29,093","29,789","29,681","30,025","30,638","2,662","8,320","7,754","6,349","6,474","6,125","5,210","3,549","16,004","15,316","14,804","16,740","17,439","17,058",-265,"-13,242","-19,031","-17,204","-27,123","-28,939","-29,880","3,284","2,762","-3,715","-2,400","-10,383","-11,500","-12,822",-161,"-1,088",-137,"-1,741",-221,"-1,768",-666,"118,152","121,156","120,357","118,151","118,329","117,199","115,698","114,956",10.5,10.3,10.1,10.1,10.1,10.0,8.2,8.1,8.3,8.3,8.4,8.6,2.3,2.2,1.8,1.8,1.7,1.5,4.5,4.3,4.1,4.7,4.9,4.8,-3.7,-5.3,-4.8,-7.5,-8.1,-8.3,0.8,-1.0,-0.7,-2.9,-3.2,-3.6,317,9000,CT,Connecticut, , , , ,"1,856,209","1,773,159","83,050",4.5,"1,881,454","1,774,681","106,773",5.7,"1,891,077","1,740,971","150,106",7.9,"1,911,712","1,737,449","174,263",9.1,"1,914,775","1,745,967","168,808",8.8,"1,888,336","1,730,695","157,641",8.3,"1,872,031","1,726,875","145,156",7.8,"1,886,398","1,761,610","124,788",6.6,"1,888,001","1,781,517","106,484",5.6,"$71,333",100.0
7,324,10000,DE,Delaware,,,,,,"897,934","897,936","899,816","907,924","916,993","925,395","934,948","944,076","952,065","1,880","8,108","9,069","8,402","9,553","9,128","7,989","2,845","11,303","11,157","10,889","10,979","10,882","10,922","1,843","7,873","7,694","8,094","8,078","8,569","8,945","1,002","3,430","3,463","2,795","2,901","2,313","1,977",561,"2,175","2,424","2,239","2,522","2,658","2,556",273,"2,632","3,261","3,417","3,887","3,989","3,027",834,"4,807","5,685","5,656","6,409","6,647","5,583",44,-129,-79,-49,243,168,429,"24,413","24,345","24,750","25,204","25,209","25,219","25,069","25,059",12.5,12.2,11.8,11.8,11.6,11.5,8.7,8.4,8.8,8.7,9.1,9.4,3.8,3.8,3.0,3.1,2.5,2.1,2.4,2.7,2.4,2.7,2.8,2.7,2.9,3.6,3.7,4.2,4.2,3.2,5.3,6.2,6.1,6.9,7.1,5.9,326,10000,DE,Delaware, , , , ,"443,573","428,312","15,261",3.4,"447,041","424,914","22,127",4.9,"437,500","401,312","36,188",8.3,"434,419","397,869","36,550",8.4,"443,346","410,086","33,260",7.5,"445,708","413,589","32,119",7.2,"442,518","412,766","29,752",6.7,"453,631","427,708","25,923",5.7,"467,472","444,578","22,894",4.9,"$61,327",100.0
8,328,11000,DC,District of Columbia,,,,,,"601,723","601,766","605,183","620,477","635,327","649,165","659,005","670,377","681,170","3,417","15,294","14,850","13,838","9,840","11,372","10,793","2,246","9,196","9,232","9,446","9,337","9,657","9,779","1,180","4,671","4,543","4,809","4,649","5,166","5,455","1,066","4,525","4,689","4,637","4,688","4,491","4,324",788,"3,299","3,692","3,643","4,019","4,237","4,116","1,428","7,069","6,305","6,022",691,"2,885","2,276","2,216","10,368","9,997","9,665","4,710","7,122","6,392",135,401,164,-464,442,-241,77,"40,021","39,984","40,268","40,403","40,261","40,105","39,297","39,769",15.0,14.7,14.7,14.3,14.5,14.5,7.6,7.2,7.5,7.1,7.8,8.1,7.4,7.5,7.2,7.2,6.8,6.4,5.4,5.9,5.7,6.1,6.4,6.1,11.5,10.0,9.4,1.1,4.3,3.4,16.9,15.9,15.0,7.2,10.7,9.5,330,11000,DC,District of Columbia, , , , ,"322,237","304,426","17,811",5.5,"330,544","309,192","21,352",6.5,"335,672","304,500","31,172",9.3,"346,065","313,508","32,557",9.4,"350,778","315,171","35,607",10.2,"365,055","332,068","32,987",9.0,"373,835","342,061","31,774",8.5,"378,082","348,729","29,353",7.8,"388,388","361,544","26,844",6.9,"$73,115",100.0
9,330,12000,FL,Florida,,,,,,"18,801,310","18,804,592","18,849,098","19,096,952","19,344,156","19,582,022","19,888,741","20,244,914","20,612,439","44,506","247,854","247,204","237,866","306,719","356,173","367,525","50,876","213,209","214,037","212,992","218,344","221,011","222,793","41,790","174,530","173,775","181,652","181,074","195,790","201,485","9,086","38,679","40,262","31,340","37,270","25,221","21,308","23,566","105,659","107,214","103,303","116,098","121,235","118,831","11,864","101,716","98,825","97,999","141,388","207,537","207,155","35,430","207,375","206,039","201,302","257,486","328,772","325,986",-10,"1,800",903,"5,224","11,963","2,180","20,231","424,999","426,891","428,999","428,254","432,404","432,637","435,167","433,717",11.2,11.1,10.9,11.1,11.0,10.9,9.2,9.0,9.3,9.2,9.8,9.9,2.0,2.1,1.6,1.9,1.3,1.0,5.6,5.6,5.3,5.9,6.0,5.8,5.4,5.1,5.0,7.2,10.3,10.1,10.9,10.7,10.3,13.0,16.4,16.0,332,12000,FL,Florida, , , , ,"9,157,124","8,789,770","367,354",4.0,"9,215,524","8,637,164","578,360",6.3,"9,094,825","8,148,123","946,702",10.4,"9,212,066","8,193,659","1,018,407",11.1,"9,300,542","8,371,638","928,904",10.0,"9,391,203","8,592,418","798,785",8.5,"9,460,552","8,771,158","689,394",7.3,"9,606,715","8,999,446","607,269",6.3,"9,675,328","9,153,264","522,064",5.4,"$49,416",100.0
10,398,13000,GA,Georgia,,,,,,"9,687,653","9,688,680","9,713,521","9,811,610","9,914,668","9,984,938","10,087,231","10,199,398","10,310,371","24,841","98,089","103,058","70,270","102,293","112,167","110,973","32,491","132,623","131,876","128,652","129,544","131,318","130,862","17,202","71,119","70,427","74,854","74,855","78,843","81,525","15,289","61,504","61,449","53,798","54,689","52,475","49,337","5,488","21,072","24,082","21,159","23,558","25,469","23,831","3,603","11,328","16,868","-5,905","22,868","33,156","36,781","9,091","32,400","40,950","15,254","46,426","58,625","60,612",461,"4,185",659,"1,218","1,178","1,067","1,024","254,026","257,144","260,026","265,358","260,874","261,234","260,716","256,905",13.6,13.4,12.9,12.9,12.9,12.8,7.3,7.1,7.5,7.5,7.8,7.9,6.3,6.2,5.4,5.4,5.2,4.8,2.2,2.4,2.1,2.3,2.5,2.3,1.2,1.7,-0.6,2.3,3.3,3.6,3.3,4.2,1.5,4.6,5.8,5.9,400,13000,GA,Georgia, , , , ,"4,815,818","4,597,640","218,178",4.5,"4,879,253","4,575,010","304,243",6.2,"4,787,749","4,311,854","475,895",9.9,"4,696,676","4,202,052","494,624",10.5,"4,748,754","4,263,305","485,449",10.2,"4,788,068","4,349,796","438,272",9.2,"4,759,506","4,369,349","390,157",8.2,"4,753,765","4,416,715","337,050",7.1,"4,770,873","4,490,931","279,942",5.9,"$51,225",100.0
11,558,15000,HI,Hawaii,,,,,,"1,360,301","1,360,301","1,363,945","1,377,864","1,391,820","1,406,481","1,416,349","1,425,157","1,428,557","3,644","13,919","13,956","14,661","9,868","8,808","3,400","4,645","19,157","18,895","19,037","18,954","18,307","18,507","2,531","10,073","10,244","10,342","10,754","11,864","12,237","2,114","9,084","8,651","8,695","8,200","6,443","6,270","1,963","6,443","8,998","7,434","7,677","8,596","7,438",-420,-941,"-3,556","-1,443","-5,359","-6,759","-10,021","1,543","5,502","5,442","5,991","2,318","1,837","-2,583",-13,-667,-137,-25,-650,528,-287,"42,880","43,305","43,522","43,333","43,947","44,068","44,249","44,287",14.0,13.6,13.6,13.4,12.9,13.0,7.3,7.4,7.4,7.6,8.4,8.6,6.6,6.2,6.2,5.8,4.5,4.4,4.7,6.5,5.3,5.4,6.1,5.2,-0.7,-2.6,-1.0,-3.8,-4.8,-7.0,4.0,3.9,4.3,1.6,1.3,-1.8,560,15000,HI,Hawaii, , , , ,"638,395","620,535","17,860",2.8,"639,691","612,120","27,571",4.3,"631,690","586,522","45,168",7.2,"647,249","602,282","44,967",6.9,"660,253","615,319","44,934",6.8,"647,625","608,722","38,903",6.0,"650,708","619,088","31,620",4.9,"668,346","639,148","29,198",4.4,"677,439","652,939","24,500",3.6,"$73,097",100.0
12,564,16000,ID,Idaho,,,,,,"1,567,582","1,567,650","1,571,010","1,584,143","1,595,911","1,612,011","1,633,532","1,652,828","1,683,140","3,360","13,133","11,768","16,100","21,521","19,296","30,312","5,973","22,957","22,366","22,705","22,430","23,001","22,792","2,567","11,885","11,902","12,301","12,546","12,348","12,496","3,406","11,072","10,464","10,404","9,884","10,653","10,296",372,"1,313","1,600","1,458","1,669","1,848","1,726",-371,152,-307,"4,786","8,916","6,748","17,143",1,"1,465","1,293","6,244","10,585","8,596","18,869",-47,596,11,-548,"1,052",47,"1,147","29,021","28,863","29,344","29,524","29,604","30,387","30,064","30,052",14.6,14.1,14.2,13.8,14.0,13.7,7.5,7.5,7.7,7.7,7.5,7.5,7.0,6.6,6.5,6.1,6.5,6.2,0.8,1.0,0.9,1.0,1.1,1.0,0.1,-0.2,3.0,5.5,4.1,10.3,0.9,0.8,3.9,6.5,5.2,11.3,565,16000,ID,Idaho, , , , ,"754,438","731,235","23,203",3.1,"755,153","716,653","38,500",5.1,"757,131","690,722","66,409",8.8,"761,056","692,826","68,230",9.0,"765,178","701,466","63,712",8.3,"769,617","713,981","55,636",7.2,"772,513","724,955","47,558",6.2,"781,390","743,574","37,816",4.8,"797,475","764,463","33,012",4.1,"$48,311",100.0
13,609,17000,IL,Illinois,,,,,,"12,830,632","12,831,574","12,841,578","12,860,012","12,870,798","12,879,505","12,867,544","12,839,047","12,801,539","10,004","18,434","10,786","8,707","-11,961","-28,497","-37,508","41,842","162,419","160,143","157,488","157,517","157,493","155,238","24,054","101,617","101,298","104,312","102,715","107,022","108,040","17,788","60,802","58,845","53,176","54,802","50,471","47,198","5,864","26,317","26,875","26,501","30,024","32,005","30,934","-13,461","-67,239","-74,709","-68,697","-96,297","-105,619","-114,144","-7,597","-40,922","-47,834","-42,196","-66,273","-73,614","-83,210",-187,"-1,446",-225,"-2,273",-490,"-5,354","-1,496","302,246","302,213","301,622","300,885","300,479","300,236","300,825","300,819",12.6,12.4,12.2,12.2,12.3,12.1,7.9,7.9,8.1,8.0,8.3,8.4,4.7,4.6,4.1,4.3,3.9,3.7,2.0,2.1,2.1,2.3,2.5,2.4,-5.2,-5.8,-5.3,-7.5,-8.2,-8.9,-3.2,-3.7,-3.3,-5.1,-5.7,-6.5,610,17000,IL,Illinois, , , , ,"6,665,601","6,334,010","331,591",5.0,"6,657,227","6,238,611","418,616",6.3,"6,618,658","5,943,229","675,429",10.2,"6,625,321","5,937,047","688,274",10.4,"6,586,893","5,948,366","638,527",9.7,"6,584,691","5,993,148","591,543",9.0,"6,561,142","5,964,580","596,562",9.1,"6,515,198","6,053,884","461,314",7.1,"6,512,386","6,126,307","386,079",5.9,"$59,590",100.0
14,712,18000,IN,Indiana,,,,,,"6,483,802","6,484,136","6,490,528","6,516,480","6,537,743","6,569,102","6,595,233","6,612,768","6,633,053","6,392","25,952","21,263","31,359","26,131","17,535","20,285","20,958","83,463","83,073","83,364","83,532","83,662","83,267","13,865","57,897","58,632","60,721","59,872","60,852","60,909","7,093","25,566","24,441","22,643","23,660","22,810","22,358","2,255","9,263","9,599","9,519","10,725","11,258","11,052","-2,976","-8,511","-12,698",-247,"-6,723","-15,870","-12,135",-721,752,"-3,099","9,272","4,002","-4,612","-1,083",20,-366,-79,-556,"-1,531",-663,-990,"187,366","187,421","188,304","188,706","189,805","190,328","188,839","187,052",12.8,12.7,12.7,12.7,12.7,12.6,8.9,9.0,9.3,9.1,9.2,9.2,3.9,3.7,3.5,3.6,3.5,3.4,1.4,1.5,1.5,1.6,1.7,1.7,-1.3,-1.9,-0.0,-1.0,-2.4,-1.8,0.1,-0.5,1.4,0.6,-0.7,-0.2,713,18000,IN,Indiana, , , , ,"3,207,687","3,061,042","146,645",4.6,"3,232,097","3,041,828","190,269",5.9,"3,193,989","2,864,985","329,004",10.3,"3,175,192","2,845,608","329,584",10.4,"3,181,991","2,891,945","290,046",9.1,"3,171,569","2,907,130","264,439",8.3,"3,193,427","2,948,941","244,486",7.7,"3,227,970","3,035,984","191,986",5.9,"3,265,761","3,109,217","156,544",4.8,"$50,510",100.0
